資料日期,證券代號,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20250418,"""5706""",1,1-999,"1,015","43,650",0.06
20250418,"""5706""",2,"1,000-5,000","1,002","1,933,553",2.75
20250418,"""5706""",3,"5,001-10,000",127,"1,028,216",1.46
20250418,"""5706""",4,"10,001-15,000",33,"415,870",0.59
20250418,"""5706""",5,"15,001-20,000",16,"298,000",0.42
20250418,"""5706""",6,"20,001-30,000",27,"717,881",1.02
20250418,"""5706""",7,"30,001-40,000",9,"296,722",0.42
20250418,"""5706""",8,"40,001-50,000",7,"324,622",0.46
20250418,"""5706""",9,"50,001-100,000",11,"762,674",1.08
20250418,"""5706""",10,"100,001-200,000",5,"666,596",0.94
20250418,"""5706""",11,"200,001-400,000",9,"2,435,693",3.46
20250418,"""5706""",12,"400,001-600,000",2,"1,018,493",1.45
20250418,"""5706""",13,"600,001-800,000",1,"706,291",1.00
20250418,"""5706""",14,"800,001-1,000,000",1,"837,414",1.19
20250418,"""5706""",15,"1,000,001以上",19,"58,753,919",83.64
20250418,"""5706""",16,合　計,"2,284","70,239,594",100.00
20250418,"""5848""",1,1-999,"16,776","1,137,235",1.40
20250418,"""5848""",2,"1,000-5,000","9,014","17,207,630",21.22
20250418,"""5848""",3,"5,001-10,000","1,111","7,679,744",9.47
20250418,"""5848""",4,"10,001-15,000",378,"4,560,435",5.62
20250418,"""5848""",5,"15,001-20,000",159,"2,802,460",3.45
20250418,"""5848""",6,"20,001-30,000",121,"2,990,393",3.68
20250418,"""5848""",7,"30,001-40,000",67,"2,371,055",2.92
20250418,"""5848""",8,"40,001-50,000",28,"1,278,704",1.57
20250418,"""5848""",9,"50,001-100,000",64,"4,272,699",5.26
20250418,"""5848""",10,"100,001-200,000",25,"3,518,396",4.33
20250418,"""5848""",11,"200,001-400,000",10,"2,790,552",3.44
20250418,"""5848""",12,"400,001-600,000",5,"2,254,797",2.78
20250418,"""5848""",13,"600,001-800,000",1,"667,568",0.82
20250418,"""5848""",14,"800,001-1,000,000",2,"1,754,866",2.16
20250418,"""5848""",15,"1,000,001以上",5,"25,795,009",31.81
20250418,"""5848""",16,合　計,"27,766","81,081,543",100.00
20250418,"""5859""",1,1-999,815,"216,949",0.01
20250418,"""5859""",2,"1,000-5,000","1,364","3,687,767",0.27
20250418,"""5859""",3,"5,001-10,000",519,"3,591,749",0.26
20250418,"""5859""",4,"10,001-15,000",207,"2,468,408",0.18
20250418,"""5859""",5,"15,001-20,000",109,"1,878,185",0.13
20250418,"""5859""",6,"20,001-30,000",110,"2,602,741",0.19
20250418,"""5859""",7,"30,001-40,000",56,"1,928,209",0.14
20250418,"""5859""",8,"40,001-50,000",40,"1,811,046",0.13
20250418,"""5859""",9,"50,001-100,000",96,"6,599,637",0.48
20250418,"""5859""",10,"100,001-200,000",80,"10,973,667",0.80
20250418,"""5859""",11,"200,001-400,000",24,"6,668,015",0.49
20250418,"""5859""",12,"400,001-600,000",11,"5,483,539",0.40
20250418,"""5859""",13,"600,001-800,000",6,"4,387,518",0.32
20250418,"""5859""",14,"800,001-1,000,000",2,"1,793,217",0.13
20250418,"""5859""",15,"1,000,001以上",28,"1,301,308,886",96.00
20250418,"""5859""",16,合　計,"3,467","1,355,399,533",100.00
20250418,"""5863""",1,1-999,"14,384","734,874",0.23
20250418,"""5863""",2,"1,000-5,000","6,290","11,585,826",3.69
20250418,"""5863""",3,"5,001-10,000",550,"3,813,041",1.21
20250418,"""5863""",4,"10,001-15,000",323,"4,215,096",1.34
20250418,"""5863""",5,"15,001-20,000",144,"2,454,892",0.78
20250418,"""5863""",6,"20,001-30,000",120,"3,012,512",0.95
20250418,"""5863""",7,"30,001-40,000",76,"2,593,728",0.82
20250418,"""5863""",8,"40,001-50,000",37,"1,656,526",0.52
20250418,"""5863""",9,"50,001-100,000",107,"7,447,925",2.37
20250418,"""5863""",10,"100,001-200,000",74,"10,413,578",3.31
20250418,"""5863""",11,"200,001-400,000",27,"7,247,754",2.30
20250418,"""5863""",12,"400,001-600,000",9,"4,337,116",1.38
20250418,"""5863""",13,"600,001-800,000",11,"7,741,588",2.46
20250418,"""5863""",14,"800,001-1,000,000",4,"3,506,063",1.11
20250418,"""5863""",15,"1,000,001以上",22,"243,163,131",77.45
20250418,"""5863""",16,合　計,"22,178","313,923,650",100.00
20250418,"""5864""",1,1-999,"14,384","734,874",0.23
20250418,"""5864""",2,"1,000-5,000","6,290","11,585,826",3.69
20250418,"""5864""",3,"5,001-10,000",550,"3,813,041",1.21
20250418,"""5864""",4,"10,001-15,000",323,"4,215,096",1.34
20250418,"""5864""",5,"15,001-20,000",144,"2,454,892",0.78
20250418,"""5864""",6,"20,001-30,000",120,"3,012,512",0.95
20250418,"""5864""",7,"30,001-40,000",76,"2,593,728",0.82
20250418,"""5864""",8,"40,001-50,000",37,"1,656,526",0.52
20250418,"""5864""",9,"50,001-100,000",107,"7,447,925",2.37
20250418,"""5864""",10,"100,001-200,000",74,"10,413,578",3.31
20250418,"""5864""",11,"200,001-400,000",27,"7,247,754",2.30
20250418,"""5864""",12,"400,001-600,000",9,"4,337,116",1.38
20250418,"""5864""",13,"600,001-800,000",11,"7,741,588",2.46
20250418,"""5864""",14,"800,001-1,000,000",4,"3,506,063",1.11
20250418,"""5864""",15,"1,000,001以上",22,"243,163,131",77.45
20250418,"""5864""",16,合　計,"22,178","313,923,650",100.00
20250418,"""5867""",1,1-999,0,0,0.00
20250418,"""5867""",2,"1,000-5,000",0,0,0.00
20250418,"""5867""",3,"5,001-10,000",0,0,0.00
20250418,"""5867""",4,"10,001-15,000",0,0,0.00
20250418,"""5867""",5,"15,001-20,000",0,0,0.00
20250418,"""5867""",6,"20,001-30,000",0,0,0.00
20250418,"""5867""",7,"30,001-40,000",0,0,0.00
20250418,"""5867""",8,"40,001-50,000",0,0,0.00
20250418,"""5867""",9,"50,001-100,000",0,0,0.00
20250418,"""5867""",10,"100,001-200,000",0,0,0.00
