t,unemploy,interestrate,PMI
1,0.048,0.25,61.1
1,0.046,0.25,60.8
1,0.042,0.25,61.1
1,0.039,0.25,58.7
1,0.04,0.25,57.6
1,0.038,0.5,58.6
1,0.036,0.5,57.1
1,0.036,1,55.4
1,0.036,1.75,56.1
1,0.036,2.5,53
1,0.035,2.5,52.8
2,0.037,3.25,52.8
2,0.035,3.25,50.9
2,0.037,4,50.2
3,0.037,4.5,49
3,0.035,4.5,48.4
3,0.034,4.75,47.4
3,0.036,5,47.7
3,0.035,5,46.3
3,0.034,5.25,47.1
3,0.037,5.25,46.9
3,0.036,5.5,46
3,0.035,5.5,46.4
3,0.038,5.5,47.6
3,0.038,5.5,49
3,0.039,5.5,46.7
3,0.037,5.5,46.7
3,0.037,5.5,47.4
3,0.037,5.5,49.1
3,0.039,5.5,47.8
3,0.038,5.5,50.3
3,0.039,5.5,49.2
3,0.04,5.5,48.7
3,0.041,5.5,48.5
3,0.043,5.5,46.8
3,0.042,5,47.2
3,0.041,5,47.2
