t,x1,x2
0,-2.505073387,-2.864214646
0,-2.475993807,-2.376554952
0,-4.051561422,-1.211989595
0,-2.448304538,-1.701794359
0,-3.551196535,-2.163741837
0,-1.070174222,-1.393267454
0,-1.098060028,-0.365501321
0,-1.861712551,-2.623493724
0,-2.378407759,-3.350100166
0,-1.856935743,-3.162240979
0,-0.394961334,-2.944279201
0,-0.650883946,-2.67121094
0,-2.448442111,-1.42331883
0,-1.831588679,-4.085770088
0,-3.120496695,-1.764036116
0,-1.599269092,-2.77842135
0,-1.260937355,-0.900438055
0,-1.099955295,-2.855564296
0,-3.531218272,-1.992442376
0,-1.495379213,-2.937585769
1,1.318440317,1.732383274
1,1.73986057,2.186550372
1,1.771204636,2.950944672
1,1.475187006,1.209481263
1,3.128318515,1.510522018
1,2.55013925,4.974473871
1,3.855147361,1.377414643
1,1.722701205,3.92030299
1,3.066630771,2.961148927
1,-0.099238851,1.442196835
1,2.638483769,1.893444848
1,2.371465457,1.784838753
1,1.6258207,2.473489692
1,2.695348326,3.365640958
1,2.877628741,0.362196284
1,3.033605649,4.023728865
1,2.41979132,2.777789286
1,2.601069228,1.451098077
1,1.325981686,1.87398864
1,0.904821543,2.299580407
