DATE,INDPRO
1919/1/1,4.8654
1919/2/1,4.6504
1919/3/1,4.516
1919/4/1,4.5966
1919/5/1,4.6235
1919/6/1,4.9192
1919/7/1,5.2149
1919/8/1,5.2955
1919/9/1,5.188
1919/10/1,5.1342
1919/11/1,5.0536
1919/12/1,5.1342
1920/1/1,5.6181
1920/2/1,5.6181
1920/3/1,5.5106
1920/4/1,5.2149
1920/5/1,5.3493
1920/6/1,5.403
1920/7/1,5.2686
1920/8/1,5.2955
1920/9/1,5.1073
1920/10/1,4.8923
1920/11/1,4.4891
1920/12/1,4.2203
1921/1/1,3.9784
1921/2/1,3.8977
1921/3/1,3.7902
1921/4/1,3.7902
1921/5/1,3.8977
1921/6/1,3.8708
1921/7/1,3.8439
1921/8/1,3.9784
1921/9/1,4.0052
1921/10/1,4.2472
1921/11/1,4.1934
1921/12/1,4.1665
1922/1/1,4.3278
1922/2/1,4.516
1922/3/1,4.7579
1922/4/1,4.5966
1922/5/1,4.8385
1922/6/1,5.0805
1922/7/1,5.0805
1922/8/1,4.9729
1922/9/1,5.2417
1922/10/1,5.5374
1922/11/1,5.7794
1922/12/1,5.9406
1923/1/1,5.8062
1923/2/1,5.8869
1923/3/1,6.0751
1923/4/1,6.2095
1923/5/1,6.2901
1923/6/1,6.2363
1923/7/1,6.1826
1923/8/1,6.0751
1923/9/1,5.9406
1923/10/1,5.9138
1923/11/1,5.9138
1923/12/1,5.7794
1924/1/1,5.9138
1924/2/1,6.0213
1924/3/1,5.9138
1924/4/1,5.7256
1924/5/1,5.4837
1924/6/1,5.2417
1924/7/1,5.1611
1924/8/1,5.3493
1924/9/1,5.5374
1924/10/1,5.6718
1924/11/1,5.7794
1924/12/1,5.9406
1925/1/1,6.1288
1925/2/1,6.1288
1925/3/1,6.1288
1925/4/1,6.1826
1925/5/1,6.1557
1925/6/1,6.1019
1925/7/1,6.2632
1925/8/1,6.1557
1925/9/1,6.0751
1925/10/1,6.317
1925/11/1,6.4514
1925/12/1,6.532
1926/1/1,6.4245
1926/2/1,6.4245
1926/3/1,6.5051
1926/4/1,6.5051
1926/5/1,6.4514
1926/6/1,6.532
1926/7/1,6.5589
1926/8/1,6.6396
1926/9/1,6.7471
1926/10/1,6.7471
1926/11/1,6.7202
1926/12/1,6.6933
1927/1/1,6.6664
1927/2/1,6.7202
1927/3/1,6.8008
1927/4/1,6.6396
1927/5/1,6.6933
1927/6/1,6.6664
1927/7/1,6.5858
1927/8/1,6.5858
1927/9/1,6.4783
1927/10/1,6.3439
1927/11/1,6.3439
1927/12/1,6.3707
1928/1/1,6.5051
1928/2/1,6.5589
1928/3/1,6.6127
1928/4/1,6.5858
1928/5/1,6.6664
1928/6/1,6.7202
1928/7/1,6.8008
1928/8/1,6.9352
1928/9/1,6.989
1928/10/1,7.1234
1928/11/1,7.2578
1928/12/1,7.3922
1929/1/1,7.4997
1929/2/1,7.4728
1929/3/1,7.4997
1929/4/1,7.6341
1929/5/1,7.7685
1929/6/1,7.8223
1929/7/1,7.9298
1929/8/1,7.8492
1929/9/1,7.7954
1929/10/1,7.661
1929/11/1,7.2847
1929/12/1,6.9621
1930/1/1,6.9621
1930/2/1,6.9352
1930/3/1,6.8277
1930/4/1,6.774
1930/5/1,6.6664
1930/6/1,6.4783
1930/7/1,6.1826
1930/8/1,6.0482
1930/9/1,5.9406
1930/10/1,5.7794
1930/11/1,5.645
1930/12/1,5.5106
1931/1/1,5.4837
1931/2/1,5.5106
1931/3/1,5.6181
1931/4/1,5.645
1931/5/1,5.5643
1931/6/1,5.4299
1931/7/1,5.3493
1931/8/1,5.1611
1931/9/1,4.9192
1931/10/1,4.731
1931/11/1,4.6772
1931/12/1,4.6504
1932/1/1,4.516
1932/2/1,4.4084
1932/3/1,4.3547
1932/4/1,4.059
1932/5/1,3.9246
1932/6/1,3.7902
1932/7/1,3.6827
1932/8/1,3.7902
1932/9/1,4.0321
1932/10/1,4.1665
1932/11/1,4.1665
1932/12/1,4.0859
1933/1/1,4.0052
1933/2/1,4.0321
1933/3/1,3.7902
1933/4/1,4.059
1933/5/1,4.731
1933/6/1,5.4568
1933/7/1,5.9675
1933/8/1,5.7256
1933/9/1,5.403
1933/10/1,5.1342
1933/11/1,4.8385
1933/12/1,4.8654
1934/1/1,5.0267
1934/2/1,5.2686
1934/3/1,5.5106
1934/4/1,5.5106
1934/5/1,5.6181
1934/6/1,5.5106
1934/7/1,5.1342
1934/8/1,5.0805
1934/9/1,4.7848
1934/10/1,4.9998
1934/11/1,5.0536
1934/12/1,5.3761
1935/1/1,5.8062
1935/2/1,5.9138
1935/3/1,5.8869
1935/4/1,5.7794
1935/5/1,5.7794
1935/6/1,5.86
1935/7/1,5.86
1935/8/1,6.075
1935/9/1,6.2363
1935/10/1,6.4245
1935/11/1,6.5589
1935/12/1,6.6395
1936/1/1,6.532
1936/2/1,6.3707
1936/3/1,6.4514
1936/4/1,6.8546
1936/5/1,6.989
1936/6/1,7.1234
1936/7/1,7.2578
1936/8/1,7.3653
1936/9/1,7.4997
1936/10/1,7.6073
1936/11/1,7.8223
1936/12/1,8.0642
1937/1/1,8.0373
1937/2/1,8.1449
