DATE,1-year_r
1982/1/1,4.3435848
1982/2/1,6.706843
1982/3/1,7.6732381
1982/4/1,8.1663554
1982/5/1,8.2654055
1982/6/1,9.2860217
1982/7/1,7.451547
1982/8/1,5.6719871
1982/9/1,3.3024834
1982/10/1,4.6296824
1982/11/1,5.7572395
1982/12/1,5.3496353
1983/1/1,4.6991893
1983/2/1,4.8695216
1983/3/1,5.3038169
1983/4/1,5.0879658
1983/5/1,5.2980312
1983/6/1,5.9606235
1983/7/1,4.7254495
1983/8/1,5.7389811
1983/9/1,5.4729138
1983/10/1,4.9258604
1983/11/1,4.6175617
1983/12/1,4.4511733
1984/1/1,5.3548319
1984/2/1,5.2046154
1984/3/1,5.6023441
1984/4/1,5.3643326
1984/5/1,5.3702453
1984/6/1,5.3761663
1984/7/1,6.2949869
1984/8/1,6.0669561
1984/9/1,6.4340674
1984/10/1,6.8646364
1984/11/1,6.3820939
1984/12/1,5.7547711
1985/1/1,5.1362167
1985/2/1,4.792826
1985/3/1,4.5414936
1985/4/1,5.7171796
1985/5/1,4.9895049
1985/6/1,3.5209103
1985/7/1,4.4601715
1985/8/1,4.2583367
1985/9/1,4.1177473
1985/10/1,4.0826807
1985/11/1,4.2082525
1985/12/1,4.4588181
1986/1/1,4.2948841
1986/2/1,4.4831766
1986/3/1,5.3159226
1986/4/1,5.1160155
1986/5/1,4.9667413
1986/6/1,4.4915424
1986/7/1,3.5049368
1986/8/1,3.3550985
1986/9/1,2.9964129
1986/10/1,2.7660447
1986/11/1,2.6917657
1986/12/1,2.4178807
1987/1/1,2.4841329
1987/2/1,2.2860399
1987/3/1,3.2924154
1987/4/1,2.5040952
1987/5/1,2.1089003
1987/6/1,2.8541465
1987/7/1,2.2699856
1987/8/1,2.5736129
1987/9/1,2.3782102
1987/10/1,3.6536838
1987/11/1,3.4340067
1987/12/1,2.4127504
1988/1/1,2.4716843
1988/2/1,2.8574932
1988/3/1,2.69979
1988/4/1,2.8051164
1988/5/1,2.9078451
1988/6/1,3.1271125
