DATE,Price,,,,,
12/01/2024,"5,948.97",,,,,
11/01/2024,"6,032.38",,,,,
10/01/2024,"5,705.45",,,,,
09/01/2024,"5,762.48",,,,,
08/01/2024,"5,648.40",,,,,
07/01/2024,"5,522.30",,,,,
06/01/2024,"5,460.48",,,,,
05/01/2024,"5,277.51",,,,,
04/01/2024,"5,035.69",,,,,
03/01/2024,"5,254.35",,,,,
02/01/2024,"5,096.27",,,,,
01/01/2024,"4,845.65",,,,,
12/01/2023,"4,769.83",,,,,
11/01/2023,"4,567.80",,,,,
10/01/2023,"4,193.80",,,,,
09/01/2023,"4,288.05",,,,,
08/01/2023,"4,507.66",,,,,
07/01/2023,"4,588.96",,,,,
06/01/2023,"4,450.38",,,,,
05/01/2023,"4,179.83",,,,,
04/01/2023,"4,169.48",,,,,
03/01/2023,"4,109.31",,,,,
02/01/2023,"3,970.15",,,,,
01/01/2023,"4,076.60",,,,,
12/01/2022,"3,839.50",,,,,
11/01/2022,"4,080.11",,,,,
10/01/2022,"3,871.98",,,,,
09/01/2022,"3,585.62",,,,,
08/01/2022,"3,955.00",,,,,
07/01/2022,"4,130.29",,,,,
06/01/2022,"3,785.38",,,,,
05/01/2022,"4,132.15",,,,,
04/01/2022,"4,131.93",,,,,
03/01/2022,"4,530.41",,,,,
02/01/2022,"4,373.94",,,,,
01/01/2022,"4,515.55",,,,,
12/01/2021,"4,766.18",,,,,
11/01/2021,"4,567.00",,,,,
10/01/2021,"4,605.38",,,,,
09/01/2021,"4,307.54",,,,,
08/01/2021,"4,522.68",,,,,
07/01/2021,"4,395.26",,,,,
06/01/2021,"4,297.50",,,,,
05/01/2021,"4,204.11",,,,,
04/01/2021,"4,181.17",,,,,
03/01/2021,"3,972.89",,,,,
02/01/2021,"3,811.15",,,,,
01/01/2021,"3,714.24",,,,,
12/01/2020,"3,756.07",,,,,
11/01/2020,"3,621.63",,,,,
10/01/2020,"3,269.96",,,,,
09/01/2020,"3,363.00",,,,,
08/01/2020,"3,500.31",,,,,
07/01/2020,"3,271.12",,,,,
06/01/2020,"3,100.29",,,,,
05/01/2020,"3,044.31",,,,,
04/01/2020,"2,912.43",,,,,
03/01/2020,"2,584.59",,,,,
02/01/2020,"2,954.22",,,,,
01/01/2020,"3,225.52",,,,,
12/01/2019,"3,230.78",,,,,
11/01/2019,"3,140.98",,,,,
10/01/2019,"3,037.56",,,,,
09/01/2019,"2,976.74",,,,,
08/01/2019,"2,926.46",,,,,
07/01/2019,"2,980.38",,,,,
06/01/2019,"2,941.76",,,,,
05/01/2019,"2,752.06",,,,,
04/01/2019,"2,945.83",,,,,
03/01/2019,"2,834.40",,,,,
02/01/2019,"2,784.49",,,,,
01/01/2019,"2,704.10",,,,,
12/01/2018,"2,506.85",,,,,
11/01/2018,"2,760.17",,,,,
10/01/2018,"2,711.74",,,,,
09/01/2018,"2,913.98",,,,,
08/01/2018,"2,901.52",,,,,
07/01/2018,"2,816.29",,,,,
06/01/2018,"2,718.37",,,,,
05/01/2018,"2,705.27",,,,,
04/01/2018,"2,648.05",,,,,
03/01/2018,"2,640.87",,,,,
02/01/2018,"2,713.83",,,,,
01/01/2018,"2,823.81",,,,,
12/01/2017,"2,673.61",,,,,
11/01/2017,"2,647.58",,,,,
10/01/2017,"2,575.26",,,,,
09/01/2017,"2,519.36",,,,,
08/01/2017,"2,471.65",,,,,
07/01/2017,"2,470.30",,,,,
06/01/2017,"2,423.41",,,,,
05/01/2017,"2,411.80",,,,,
