DATE,,,Unexp R
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
1990/7/1,,,-0.037812484
1990/8/1,,,-0.046330844
1990/9/1,,,-0.053368821
1990/10/1,,,-0.051453648
1990/11/1,,,-0.056436858
1990/12/1,,,-0.050370375
1991/1/1,,,-0.043909173
1991/2/1,,,-0.038649258
1991/3/1,,,-0.040792075
1991/4/1,,,-0.033133121
1991/5/1,,,-0.041476711
1991/6/1,,,-0.039470346
1991/7/1,,,-0.037818903
1991/8/1,,,-0.04121237
1991/9/1,,,-0.03940684
1991/10/1,,,-0.041559166
1991/11/1,,,-0.037683349
1991/12/1,,,-0.039836748
1992/1/1,,,-0.03746804
1992/2/1,,,-0.03371304
1992/3/1,,,-0.034743245
1992/4/1,,,-0.03256239
1992/5/1,,,-0.036856792
1992/6/1,,,-0.036993182
1992/7/1,,,-0.035982655
1992/8/1,,,-0.03506358
1992/9/1,,,-0.032321923
1992/10/1,,,-0.032823423
1992/11/1,,,-0.02804555
1992/12/1,,,-0.02918487
1993/1/1,,,-0.032414685
1993/2/1,,,-0.031817243
1993/3/1,,,-0.031823371
1993/4/1,,,-0.028317809
1993/5/1,,,-0.030356529
1993/6/1,,,-0.021892401
1993/7/1,,,-0.032630517
1993/8/1,,,-0.027685436
1993/9/1,,,-0.030016708
1993/10/1,,,-0.029414728
1993/11/1,,,-0.025905026
1993/12/1,,,-0.026067053
1994/1/1,,,-0.027464631
1994/2/1,,,-0.029934668
1994/3/1,,,-0.032641444
1994/4/1,,,-0.02315878
1994/5/1,,,-0.030160131
1994/6/1,,,-0.03590045
1994/7/1,,,-0.032394606
1994/8/1,,,-0.028175726
1994/9/1,,,-0.033190074
1994/10/1,,,-0.03317667
1994/11/1,,,-0.035594814
1994/12/1,,,-0.036736686
1995/1/1,,,-0.036701026
1995/2/1,,,-0.038589017
1995/3/1,,,-0.03740184
1995/4/1,,,-0.03348272
1995/5/1,,,-0.021975474
1995/6/1,,,-0.04195921
1995/7/1,,,-0.038267217
1995/8/1,,,-0.032530446
1995/9/1,,,-0.036651027
1995/10/1,,,-0.02956104
1995/11/1,,,-0.034106386
1995/12/1,,,-0.023255237
1996/1/1,,,-0.034737766
1996/2/1,,,-0.033493686
1996/3/1,,,-0.02530199
1996/4/1,,,-0.026926863
1996/5/1,,,-0.034967463
1996/6/1,,,-0.032516133
1996/7/1,,,-0.030012188
1996/8/1,,,-0.034534544
