DATE,INDPRO,CPI,FFR,Unexp R,Price
1990/7/1,62.6435,0.38491147,8.15,-0.037812484,356.10 
1990/8/1,62.8704,0.920245399,8.13,-0.046330844,322.60 
1990/9/1,62.8839,0.835866261,8.2,-0.053368821,306.10 
1990/10/1,62.4973,0.602863602,8.11,-0.051453648,304.00 
1990/11/1,61.7175,0.224719101,7.81,-0.056436858,322.20 
1990/12/1,61.2885,0,7.31,-0.050370375,330.20 
1991/1/1,61.0842,0.597907324,6.91,-0.043909173,343.90 
1991/2/1,60.6387,0.14858841,6.25,-0.038649258,367.10 
1991/3/1,60.2973,0.148367953,6.12,-0.040792075,375.20 
1991/4/1,60.4524,0.148148148,5.91,-0.033133121,375.40 
1991/5/1,61.0587,0.295857988,5.78,-0.041476711,389.80 
1991/6/1,61.5514,0.294985251,5.9,-0.039470346,371.20 
1991/7/1,61.7201,0.147058824,5.82,-0.037818903,387.80 
1991/8/1,61.7289,0.293685756,5.66,-0.04121237,395.40 
1991/9/1,62.2369,0.439238653,5.45,-0.03940684,387.90 
1991/10/1,62.1718,0.145772595,5.21,-0.041559166,392.50 
1991/11/1,62.0894,0.291120815,4.81,-0.037683349,375.20 
1991/12/1,61.806,0.07256894,4.43,-0.039836748,417.10 
1992/1/1,61.4823,0.145032632,4.03,-0.03746804,408.80 
1992/2/1,61.9192,0.362056481,4.06,-0.03371304,412.70 
1992/3/1,62.4403,0.505050505,3.98,-0.034743245,403.70 
1992/4/1,62.9199,0.143575018,3.73,-0.03256239,414.90 
1992/5/1,63.1268,0.143369176,3.82,-0.036856792,415.40 
1992/6/1,63.1624,0.357909807,3.76,-0.036993182,408.10 
1992/7/1,63.7348,0.213980029,3.25,-0.035982655,424.20 
1992/8/1,63.3802,0.284697509,3.3,-0.03506358,414.00 
1992/9/1,63.5834,0.283889283,3.22,-0.032321923,417.80 
1992/10/1,64.0178,0.353857042,3.1,-0.032823423,418.70 
1992/11/1,64.2628,0.141043724,3.09,-0.02804555,431.40 
1992/12/1,64.3599,-0.070422535,2.92,-0.02918487,435.70 
1993/1/1,64.6135,0.493305144,3.02,-0.032414685,438.80 
1993/2/1,64.9262,0.350631136,3.03,-0.031817243,443.40 
1993/3/1,64.8627,0.34940601,3.07,-0.031823371,451.70 
1993/4/1,65.0423,0.278551532,2.96,-0.028317809,440.20 
1993/5/1,64.8006,0.138888889,3,-0.030356529,450.20 
1993/6/1,64.9476,0.138696255,3.04,-0.021892401,450.50 
1993/7/1,65.1142,0,3.06,-0.032630517,448.10 
1993/8/1,65.0421,0.27700831,3.03,-0.027685436,463.60 
1993/9/1,65.3749,0.20718232,3.09,-0.030016708,458.90 
1993/10/1,65.863,0.413507926,2.99,-0.029414728,467.80 
1993/11/1,66.1696,0.06863418,3.02,-0.025905026,461.80 
1993/12/1,66.5531,0,2.96,-0.026067053,466.40 
1994/1/1,66.7591,0.274348422,3.05,-0.027464631,481.60 
1994/2/1,66.8019,0.341997264,3.25,-0.029934668,467.10 
1994/3/1,67.4704,0.340831629,3.34,-0.032641444,445.80 
1994/4/1,67.8707,0.135869565,3.56,-0.02315878,450.90 
1994/5/1,68.187,0.067842605,4.01,-0.030160131,456.50 
1994/6/1,68.645,0.338983051,4.25,-0.03590045,444.30 
1994/7/1,68.7317,0.27027027,4.26,-0.032394606,458.30 
1994/8/1,69.1882,0.404312668,4.47,-0.028175726,475.50 
1994/9/1,69.3935,0.268456376,4.73,-0.033190074,462.70 
1994/10/1,69.9576,0.066934404,4.76,-0.03317667,472.40 
1994/11/1,70.4288,0.133779264,5.29,-0.035594814,453.70 
1994/12/1,71.1273,0,5.45,-0.036736686,459.30 
1995/1/1,71.2635,0.400801603,5.53,-0.036701026,470.40 
